id,pred
2017_1112_1116,0.702336668968
2017_1112_1124,0.470634609461
2017_1112_1137,0.859757363796
2017_1112_1139,0.554412603378
2017_1112_1153,0.666410624981
2017_1112_1166,0.74500888586
2017_1112_1173,0.685679495335
2017_1112_1181,0.388290464878
2017_1112_1190,0.858163356781
2017_1112_1195,0.906925439835
2017_1112_1196,0.541626811028
2017_1112_1199,0.494228184223
2017_1112_1211,0.361651033163
2017_1112_1233,0.8142157197
2017_1112_1235,0.643449425697
2017_1112_1240,0.908706903458
2017_1112_1242,0.363381296396
2017_1112_1243,0.755337536335
2017_1112_1245,0.866242349148
2017_1112_1246,0.392259150743
2017_1112_1257,0.383021980524
2017_1112_1266,0.783275663853
2017_1112_1268,0.673097789288
2017_1112_1274,0.800760388374
2017_1112_1276,0.694849252701
2017_1112_1277,0.723105430603
2017_1112_1278,0.626290798187
2017_1112_1291,0.915270924568
2017_1112_1292,0.802359104156
2017_1112_1297,0.918658733368
2017_1112_1300,0.925479054451
2017_1112_1305,0.766936302185
2017_1112_1308,0.815712809563
2017_1112_1309,0.899612128735
2017_1112_1314,0.35399466753
2017_1112_1315,0.917470991611
2017_1112_1321,0.785658240318
2017_1112_1323,0.629368185997
2017_1112_1329,0.786071300507
2017_1112_1332,0.476772487164
2017_1112_1343,0.859411299229
2017_1112_1344,0.751840949059
2017_1112_1345,0.568880736828
2017_1112_1348,0.765626192093
2017_1112_1355,0.923829138279
2017_1112_1371,0.745139181614
2017_1112_1374,0.664938628674
2017_1112_1376,0.695514321327
2017_1112_1388,0.7029941082
2017_1112_1407,0.908049941063
2017_1112_1411,0.906743049622
2017_1112_1413,0.923271775246
2017_1112_1417,0.458781719208
2017_1112_1423,0.77323359251
2017_1112_1425,0.788323998451
2017_1112_1433,0.757541835308
2017_1112_1435,0.748891532421
2017_1112_1436,0.876886665821
2017_1112_1437,0.3562040627
2017_1112_1438,0.628343462944
2017_1112_1439,0.726444303989
2017_1112_1448,0.763554990292
2017_1112_1452,0.579430758953
2017_1112_1455,0.743354737759
2017_1112_1457,0.879977762699
2017_1112_1458,0.710795342922
2017_1112_1462,0.810589075089
2017_1116_1124,0.234866902232
2017_1116_1137,0.750513017178
2017_1116_1139,0.252369791269
2017_1116_1153,0.328460544348
2017_1116_1166,0.270697504282
2017_1116_1173,0.362169772387
2017_1116_1181,0.218890652061
2017_1116_1190,0.748041272163
2017_1116_1195,0.827031612396
2017_1116_1196,0.267131268978
2017_1116_1199,0.218051195145
2017_1116_1211,0.205682352185
2017_1116_1233,0.715929031372
2017_1116_1235,0.264411151409
2017_1116_1240,0.830055654049
2017_1116_1242,0.208331674337
2017_1116_1243,0.625850379467
2017_1116_1245,0.761716187
2017_1116_1246,0.216007053852
2017_1116_1257,0.222778409719
2017_1116_1266,0.567516684532
2017_1116_1268,0.318806827068
2017_1116_1274,0.441619336605
2017_1116_1276,0.350849270821
2017_1116_1277,0.462135881186
2017_1116_1278,0.292153060436
2017_1116_1291,0.841286897659
2017_1116_1292,0.68788677454
2017_1116_1297,0.847138881683
2017_1116_1300,0.859035968781
2017_1116_1305,0.664306879044
2017_1116_1308,0.71656692028
2017_1116_1309,0.814723134041
2017_1116_1314,0.202405959368
2017_1116_1315,0.84508305788
2017_1116_1321,0.424502342939
2017_1116_1323,0.28704932332
2017_1116_1329,0.568491101265
2017_1116_1332,0.230401292443
2017_1116_1343,0.749975800514
2017_1116_1344,0.623203277588
2017_1116_1345,0.24070340395
2017_1116_1348,0.633746147156
2017_1116_1355,0.856143534184
2017_1116_1371,0.480934530497
2017_1116_1374,0.330592125654
2017_1116_1376,0.349908143282
2017_1116_1388,0.33932492137
2017_1116_1407,0.828939139843
2017_1116_1411,0.826722443104
2017_1116_1413,0.8551684618
2017_1116_1417,0.243950814009
2017_1116_1423,0.671432495117
2017_1116_1425,0.640704929829
2017_1116_1433,0.558920562267
2017_1116_1435,0.482124149799
2017_1116_1436,0.777532994747
2017_1116_1437,0.203319400549
2017_1116_1438,0.288744628429
2017_1116_1439,0.465295910835
2017_1116_1448,0.632143378258
2017_1116_1452,0.234418690205
